epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,25335.2,0.61631,1.02153,0.46084,0.93945,0.49989,0.18048,0.17382,0.08787,0.18283,0.125,0.08475,0.0453,1.98259,5.88764,3.62876,2.218,0.0005546,0.0005546,0.0005546
75,25819.1,0.60101,0.97803,0.45225,0.96258,0.36878,0.20833,0.1773,0.08574,0.23731,0.13889,0.08998,0.04673,1.92539,6.09331,3.5988,2.19025,0.0005348,0.0005348,0.0005348
76,26245.2,0.5795,0.95289,0.44969,0.93499,0.64941,0.18011,0.19326,0.09629,0.3136,0.13889,0.10824,0.05449,1.89233,5.90417,3.66888,2.16138,0.000515,0.000515,0.000515
77,26592.3,0.58358,0.95688,0.43447,0.93931,0.65279,0.16667,0.18778,0.09524,0.24609,0.13889,0.10655,0.05245,1.8811,5.85883,3.70709,2.15613,0.0004952,0.0004952,0.0004952
78,26937.4,0.58413,0.92385,0.44562,0.93083,0.56295,0.17896,0.18892,0.09498,0.36604,0.125,0.10049,0.04925,1.86939,5.74658,3.60985,2.15591,0.0004754,0.0004754,0.0004754
79,27267,0.58618,0.98541,0.45521,0.93615,0.3974,0.19444,0.19372,0.10241,0.27233,0.13889,0.10733,0.05252,1.87665,5.547,3.58262,2.14925,0.0004556,0.0004556,0.0004556
80,27608.9,0.568,0.95878,0.42975,0.93143,0.45132,0.2057,0.18908,0.10242,0.32957,0.15278,0.10601,0.05233,1.77917,5.32863,3.56045,2.05262,0.0004358,0.0004358,0.0004358
81,27947.1,0.54537,0.94774,0.4285,0.92406,0.3805,0.19444,0.17914,0.09984,0.24609,0.13889,0.09404,0.05143,1.74066,5.31047,3.57034,2.00655,0.000416,0.000416,0.000416
82,28272.4,0.55289,0.9535,0.44361,0.93801,0.57506,0.15278,0.15736,0.09388,0.21467,0.16667,0.11211,0.05404,1.74808,5.21987,3.58468,2.01309,0.0003962,0.0003962,0.0003962
83,28592.9,0.57627,0.92774,0.43305,0.94903,0.65866,0.15278,0.17186,0.08735,0.25752,0.09722,0.09086,0.04727,1.78703,5.44788,3.75882,2.00578,0.0003764,0.0003764,0.0003764
84,28910.6,0.55782,0.94107,0.41452,0.92756,0.38747,0.14945,0.14926,0.08571,0.17372,0.09722,0.09352,0.045,1.78465,5.36321,3.82413,2.02114,0.0003566,0.0003566,0.0003566
85,29234.7,0.57263,0.88272,0.42505,0.94761,0.35619,0.14611,0.15291,0.08623,0.21909,0.10916,0.09844,0.04691,1.811,5.40578,3.82678,2.05317,0.0003368,0.0003368,0.0003368
86,29584.4,0.56696,0.9327,0.42327,0.92874,0.43977,0.16363,0.17433,0.09147,0.20055,0.09722,0.0883,0.04146,1.84847,5.43679,3.7955,2.07809,0.000317,0.000317,0.000317
87,30009.9,0.52192,0.84672,0.41542,0.92541,0.49687,0.13889,0.16355,0.0892,0.2881,0.08333,0.09287,0.04514,1.8916,5.42211,3.81537,2.0957,0.0002972,0.0002972,0.0002972
88,30430.8,0.55741,0.93342,0.42016,0.91121,0.37719,0.13889,0.15452,0.08719,0.20736,0.08333,0.08535,0.04289,1.94023,5.46793,3.87678,2.14893,0.0002774,0.0002774,0.0002774
89,30843.5,0.50837,0.87078,0.38559,0.92024,0.67222,0.11111,0.15396,0.08567,0.17475,0.08333,0.08557,0.04236,1.97563,5.45642,3.89353,2.172,0.0002576,0.0002576,0.0002576
90,31327.5,0.53516,0.88759,0.4258,0.91912,0.49083,0.11111,0.1482,0.08321,0.59033,0.05556,0.0805,0.04405,1.98893,5.29021,3.94875,2.17918,0.0002378,0.0002378,0.0002378
91,31890.6,0.48471,0.81302,0.40555,0.87833,0.39235,0.11111,0.14524,0.07855,0.54529,0.06944,0.08846,0.0413,1.99302,5.26258,3.92546,2.20941,0.000218,0.000218,0.000218
92,32260.6,0.48618,0.78191,0.38526,0.91112,0.39203,0.11111,0.14011,0.07836,0.47595,0.06944,0.08481,0.04134,2.0087,5.43727,3.88636,2.27857,0.0001982,0.0001982,0.0001982
93,32576.5,0.47366,0.76472,0.37389,0.89663,0.52874,0.11111,0.12933,0.07397,0.4957,0.06944,0.08191,0.03776,1.98896,5.78086,3.89298,2.25347,0.0001784,0.0001784,0.0001784
94,32979,0.47159,0.78452,0.36443,0.87788,0.63428,0.11111,0.13431,0.07411,0.52383,0.05556,0.06318,0.0363,1.98852,6.07553,3.93968,2.282,0.0001586,0.0001586,0.0001586
95,33508.6,0.46981,0.76629,0.36557,0.89512,0.66481,0.11111,0.14145,0.08041,0.52123,0.05556,0.06767,0.0354,1.97331,6.17151,3.93756,2.26918,0.0001388,0.0001388,0.0001388
96,34032.4,0.46155,0.75703,0.3654,0.90467,0.66631,0.11111,0.15108,0.0898,0.17377,0.06944,0.07339,0.03999,1.95351,6.19518,3.93896,2.24898,0.000119,0.000119,0.000119
97,34625.8,0.42338,0.77621,0.33955,0.87091,0.65822,0.11111,0.15237,0.09099,0.21696,0.06944,0.07196,0.03893,1.94114,6.17001,3.94439,2.21045,9.92e-05,9.92e-05,9.92e-05
98,35169.9,0.43632,0.73526,0.33769,0.8778,0.73165,0.125,0.1752,0.09335,0.18564,0.06944,0.07161,0.03786,1.9262,6.21936,3.91012,2.21129,7.94e-05,7.94e-05,7.94e-05
99,35611.7,0.45349,0.73568,0.34363,0.90169,0.5154,0.15278,0.18518,0.09414,0.22791,0.09722,0.09883,0.04067,1.91786,6.22784,3.89041,2.18062,5.96e-05,5.96e-05,5.96e-05
100,36005.4,0.43628,0.71764,0.33696,0.85389,0.68719,0.15257,0.18923,0.09508,0.25875,0.11111,0.10125,0.0418,1.90324,6.27737,3.89574,2.1553,3.98e-05,3.98e-05,3.98e-05
